sentiment,date,text,score
|negative|,5/18/17, Up over 30% on $BABA as it continues to work higher from our 2nd buy alert https://t.co/32JdI9w8CM $AAPL $SHOP $NVDA https://t.co/gMNSd7C5Bv,-1
,,,
|neutral|,5/18/17, We can't say I didn't just look at the timeline. $AAPL,0
,,,
|positive|,5/18/17," $SIRI $P $FWONA $AAPL:  Pandora is a Perfect Catch for Sirius, Analysts Say- Hereâ€™s Why:  https://t.co/QMK8CKsS57",3
,,,
|positive|,5/18/17, Check out these awesome trading systems: https://t.co/SlDMcCQf0c $AAPL $NFLX $TSLA $FB $VIX $DWTI $UWTI $SPY,4
,,,
|positive|,5/18/17," $AAPL CEO Tim Cook test-drove a device that tracks his blood sugar, hinting at Apple's interest https://t.co/q4Bhh2nhRM #diabetes",1
,,,
|positive|,5/18/17, RT @holaMau: This would be incredibly helpful (even life-saving) for so many people. #apple $AAPL #diabetes #glucoseMonitoring https://t.coâ€_,2
,,,
|neutral|,5/18/17, RT @cfromhertz: TTG Themes of the day(below): $AAPL $DD $CAH $QRVO $NVDA $NRG $YRCW $SYMC $CORT $FEZ $BUD $NCLH $EWZ $ERY  #DailyRecap httpâ€_,0
,,,
|neutral|,5/18/17, TTG Themes of the day(below): $AAPL $DD $CAH $QRVO $NVDA $NRG $YRCW $SYMC $CORT $FEZ $BUD $NCLH $EWZ $ERYâ€_ https://t.co/hsjnDfaao7,0
,,,
